SSN,Albite,Diopside,Hematite,Hornblende,Kaolinite,Maghemite,Microcline,Montmorillonite,Muscovite,Nacrite,Quartz,Tremolite,Halloysite,Magnetite,Epidote,Fayalite
icr034854,3.6,NA,1.7,NA,9.1,NA,7.7,NA,NA,NA,77.9,NA,NA,NA,NA,NA
icr034873,5.7,3.5,NA,NA,9.6,1.2,10.7,NA,NA,NA,69.3,NA,NA,NA,NA,NA
icr034874,5.5,3.1,0.8,NA,10.9,NA,11.5,NA,NA,NA,68.2,NA,NA,NA,NA,NA
icr034893,4.5,2.5,NA,2.3,4.4,NA,13.8,NA,NA,NA,72.5,NA,NA,NA,NA,NA
icr034894,4.5,2.5,0.8,NA,5.1,NA,16.3,NA,NA,NA,70.9,NA,NA,NA,NA,NA
icr034913,4.9,NA,NA,NA,3,NA,29.4,NA,NA,NA,62.7,NA,NA,NA,NA,NA
icr034914,4.9,NA,NA,NA,3.3,NA,27.4,NA,NA,NA,63.5,NA,NA,0.9,NA,NA
icr049496,22,3.4,NA,3.4,NA,NA,18.9,NA,NA,NA,52.3,NA,NA,NA,NA,NA
icr049497,23.7,3.3,NA,5.3,NA,NA,21.2,NA,NA,NA,46.5,NA,NA,NA,NA,NA
icr049516,16.1,5.1,NA,10.1,NA,NA,15.4,NA,NA,NA,51.7,NA,1.6,NA,NA,NA
icr049517,17.7,4.6,NA,8.7,NA,NA,16.1,NA,NA,NA,52.9,NA,NA,NA,NA,NA
icr049536,19.4,2.5,NA,4.5,0.8,NA,18.7,NA,NA,NA,54,NA,NA,NA,NA,NA
icr049537,23.5,3.2,NA,5.3,1.1,NA,23.9,NA,NA,NA,43,NA,NA,NA,NA,NA
icr049556,31.1,NA,1.4,NA,5.1,NA,27.8,NA,6.6,NA,28,NA,NA,NA,NA,NA
icr049557,29.3,NA,1.4,NA,6.6,NA,27.3,NA,5.8,NA,29.7,NA,NA,NA,NA,NA
icr049576,20.9,NA,NA,6,1,NA,16.5,NA,1.8,NA,53.8,NA,NA,NA,NA,NA
icr049577,20.8,NA,NA,8.1,1.1,NA,17.4,NA,1.6,NA,51,NA,NA,NA,NA,NA
icr049596,23.3,NA,NA,3.3,0.7,NA,19.5,NA,1.1,NA,52.1,NA,NA,NA,NA,NA
icr049597,23.1,NA,NA,3.7,0.6,NA,23.5,NA,NA,NA,49.2,NA,NA,NA,NA,NA
icr049616,18.4,3.4,NA,4.2,NA,NA,21.8,NA,NA,NA,52.2,NA,NA,NA,NA,NA
icr049617,24.8,3.1,NA,4.4,NA,NA,23.5,NA,NA,NA,44.2,NA,NA,NA,NA,NA
icr049635,21.3,3.5,NA,2.7,NA,NA,20.5,NA,1.2,NA,50.8,NA,NA,NA,NA,NA
icr049636,23.9,NA,NA,3.9,0.5,NA,20.3,NA,1,NA,50.5,NA,NA,NA,NA,NA
icr049655,27.7,NA,NA,NA,6.7,NA,34.3,NA,7.6,NA,15.9,NA,NA,NA,NA,7.8
icr049656,26.4,NA,NA,NA,6.4,NA,28.2,NA,6.9,NA,24.4,NA,NA,NA,7.6,NA
icr049675,22.6,NA,NA,3.9,1.4,NA,23.9,NA,1.9,NA,46.3,NA,NA,NA,NA,NA
icr049676,24.2,NA,NA,3.4,1.1,NA,23.6,NA,2,NA,45.8,NA,NA,NA,NA,NA
icr049695,12.7,NA,NA,9.2,0.8,NA,18.2,NA,1.8,NA,57.3,NA,NA,NA,NA,NA
icr049696,13.8,5,NA,10,NA,NA,16.6,NA,NA,NA,54.6,NA,NA,NA,NA,NA
icr049715,26.2,NA,NA,4.2,0.7,NA,21.7,NA,1.3,NA,45.9,NA,NA,NA,NA,NA
icr049716,27.4,NA,NA,4,NA,NA,24.4,NA,1.6,NA,42.7,NA,NA,NA,NA,NA
icr049735,26,NA,NA,NA,4.8,NA,29.4,NA,4.4,NA,29.4,NA,NA,NA,6,NA
icr049736,26.9,NA,NA,NA,5.9,NA,27.8,NA,6.2,NA,29,NA,NA,NA,4.2,NA
icr049755,30,NA,NA,3.6,4,NA,25.5,NA,5.5,NA,25.4,NA,NA,NA,6,NA
icr049756,25.5,NA,NA,3,7.4,NA,32.8,NA,4.4,NA,26.9,NA,NA,NA,NA,NA
icr049775,26,NA,NA,3.9,1,NA,21.6,NA,1.7,NA,45.8,NA,NA,NA,NA,NA
icr049776,23.2,NA,NA,5,NA,NA,23.9,NA,2.2,NA,45.6,NA,NA,NA,NA,NA
icr049795,19.4,NA,NA,3.9,NA,NA,17.6,NA,1.1,NA,57.9,NA,NA,NA,NA,NA
icr049796,23.2,NA,NA,5,NA,NA,23,NA,1.7,NA,47.1,NA,NA,NA,NA,NA
