"SSN","Cluster","Plot","LWN"
"icr005928",1,1,
"icr005929",1,1,
"icr005946",2,1,
"icr005947",2,1,
"icr005965",3,1,
"icr005966",3,1,
"icr005985",4,2,
"icr005986",4,2,
"icr005998",5,1,
"icr005999",5,1,
"icr006015",6,1,
"icr006016",6,1,
"icr006035",7,1,
"icr006036",7,1,
"icr006055",8,1,
"icr006056",8,1,
"icr006076",9,5,
"icr006077",9,5,
"icr006085",10,2,
"icr006086",10,2,
"icr006101",11,1,
"icr006102",11,1,
"icr006121",12,1,
"icr006122",12,1,
"icr006142",13,5,
"icr006143",13,5,
"icr006152",14,3,
"icr006153",14,3,
"icr006164",15,2,
"icr006165",15,2,
"icr006179",16,1,
"icr006180",16,1,
"icr006510",4,1,
"icr006550",6,1,
"icr006684",13,1,
"icr006744",16,1,
"icr007730",1,1,
"icr007731",1,1,
"icr007750",2,1,
"icr007751",2,1,
"icr007770",3,1,
"icr007771",3,1,
"icr007790",4,1,
"icr007791",4,1,
"icr007810",5,1,
"icr007811",5,1,
"icr007830",6,1,
"icr007831",6,1,
"icr007850",7,1,
"icr007851",7,1,
"icr007870",8,1,
"icr007871",8,1,
"icr007890",9,1,
"icr007891",9,1,
"icr007910",10,1,
"icr007911",10,1,
"icr007928",11,1,
"icr007929",11,1,
"icr007949",12,2,
"icr007950",12,2,
"icr007967",13,1,
"icr007968",13,1,
"icr007987",14,1,
"icr007988",14,1,
"icr008007",15,1,
"icr008008",15,1,
"icr008027",16,1,
"icr008028",16,1,
"icr009938",2,1,
"icr009978",4,1,
"icr010058",8,1,
"icr010078",9,1,
"icr010138",12,1,
"icr010198",15,1,
"icr010475",8,1,
"icr010515",10,1,
"icr010535",11,1,
"icr010575",13,1,
"icr010616",15,1,
"icr010687",1,1,
"icr010885",11,1,
"icr010945",14,1,
"icr010946",14,1,
"icr010965",15,1,
"icr010966",15,1,
"icr010985",16,1,
"icr010986",16,1,
"icr011241",12,1,
"icr011844",2,2,
"icr011901",5,1,
"icr011902",5,1,
"icr012063",14,1,
"icr012064",14,1,
"icr014408",1,1,
"icr014409",1,1,
"icr014428",2,1,
"icr014429",2,1,
"icr014448",3,1,
"icr014449",3,1,
"icr014468",4,1,
"icr014469",4,1,
"icr014488",5,1,
"icr014489",5,1,
"icr014508",6,1,
"icr014509",6,1,
"icr014528",7,1,
"icr014529",7,1,
"icr014548",8,1,
"icr014549",8,1,
"icr014568",9,1,
"icr014569",9,1,
"icr014588",10,1,
"icr014589",10,1,
"icr014608",11,2,
"icr014609",11,2,
"icr014628",12,1,
"icr014629",12,1,
"icr014648",13,1,
"icr014649",13,1,
"icr014668",14,1,
"icr014669",14,1,
"icr014688",15,1,
"icr014689",15,1,
"icr014708",16,1,
"icr014709",16,1,
"icr014743",1,1,
"icr014744",1,1,
"icr014763",2,1,
"icr014764",2,1,
"icr014783",3,1,
"icr014784",3,1,
"icr014803",4,1,
"icr014804",4,1,
"icr014823",5,1,
"icr014824",5,1,
"icr014843",6,1,
"icr014844",6,1,
"icr014863",7,2,
"icr014864",7,2,
"icr014883",8,1,
"icr014884",8,1,
"icr014903",9,1,
"icr014904",9,1,
"icr014923",10,2,
"icr014924",10,2,
"icr014943",11,1,
"icr014944",11,1,
"icr014963",12,1,
"icr014964",12,1,
"icr014983",13,2,
"icr014984",13,2,
"icr015003",14,1,
"icr015004",14,1,
"icr015023",15,1,
"icr015024",15,1,
"icr015043",16,1,
"icr015044",16,1,
"icr015064",1,1,
"icr015083",2,1,
"icr015103",3,1,
"icr015123",4,2,
"icr015177",7,1,
"icr015178",7,1,
"icr015199",8,1,
"icr015256",11,1,
"icr015316",14,1,
"icr015832",5,2,
"icr015912",9,1,
"icr021063",12,1,
"icr021141",16,1,
"icr023273",9,1,
"icr023353",13,1,
"icr023354",13,1,
"icr023373",14,1,
"icr023374",14,1,
"icr023393",15,1,
"icr023394",15,1,
"icr023413",16,1,
"icr023414",16,1,
"icr023593",9,1,
"icr023594",9,1,
"icr023713",15,1,
"icr024917",4,1,
"icr025009",9,5,
"icr025036",11,1,
"icr030043",2,1,
"icr030063",3,1,
"icr030084",4,1,
